Title,Description,Course Title,Lessons,combined_text
Title not found,Description not found,Course title not found,Lessons not found,descript found lesson found
Title not found,Description not found,Course title not found,Lessons not found,descript found lesson found
Title not found,Description not found,Course title not found,Lessons not found,descript found lesson found
Title not found,Description not found,Course title not found,Lessons not found,descript found lesson found
Title not found,Description not found,Course title not found,Lessons not found,descript found lesson found
Title not found,Description not found,Course title not found,Lessons not found,descript found lesson found
Title not found,Description not found,Course title not found,Lessons not found,descript found lesson found
Title not found,Description not found,Course title not found,Lessons not found,descript found lesson found
Title not found,Description not found,Course title not found,Lessons not found,descript found lesson found
Title not found,Description not found,Course title not found,Lessons not found,descript found lesson found
Title not found,Description not found,Course title not found,Lessons not found,descript found lesson found
Title not found,Description not found,Course title not found,Lessons not found,descript found lesson found
Docker for Absolute Beginners,Description not found,Introduction & Core Concepts,"Getting Started with Docker, Understanding Docker Architecture, Images and Containers Explained, Running Your First Container, Managing Containers: Start, Stop, Remove, Working with Docker Images, Building Custom Images, Writing Your First Dockerfile, Pushing Images to a Registry, Introduction to Docker Compose, Multi-Container Applications, Networking in Docker, Volumes and Data Persistence, Wrap-Up and Next Steps",descript found get start docker understand docker architectur imag contain explain run first contain manag contain start stop remov work docker imag build custom imag write first dockerfil push imag registri introduct docker compos multicontain applic network docker volum data persist wrapup next step
Title not found,Description not found,Course title not found,Lessons not found,descript found lesson found
Title not found,Description not found,Course title not found,Lessons not found,descript found lesson found
Title not found,Description not found,Course title not found,Lessons not found,descript found lesson found
Title not found,Description not found,Course title not found,Lessons not found,descript found lesson found
Title not found,Description not found,Course title not found,Lessons not found,descript found lesson found
Title not found,Description not found,Course title not found,Lessons not found,descript found lesson found
Title not found,Description not found,Course title not found,Lessons not found,descript found lesson found
Title not found,Description not found,Course title not found,Lessons not found,descript found lesson found
Title not found,Description not found,Course title not found,Lessons not found,descript found lesson found
Title not found,Description not found,Course title not found,Lessons not found,descript found lesson found
Title not found,Description not found,Course title not found,Lessons not found,descript found lesson found
Title not found,Description not found,Course title not found,Lessons not found,descript found lesson found
Title not found,Description not found,Course title not found,Lessons not found,descript found lesson found
Title not found,Description not found,Course title not found,Lessons not found,descript found lesson found
Title not found,Description not found,Course title not found,Lessons not found,descript found lesson found
The Complete Power BI Blueprint,"A comprehensive Power BI roadmap: data modeling, DAX, visuals (bar, line, area, map, funnel, etc.), date tables and time intelligence, conditional formatting, and building interactive dashboards for business storytelling.",Introduction to Power BI,"Intro to data viz, What is Business Intelligence-, Overview of Data Analysis, What is Power BI, Power Bi Intro Part -2, Power BI Installation Guide - Key Features, Understanding Bar charts - Part 1, Understanding Barcharts - Part 2, Creating a Report with Multiple Bar Charts, Clustered Barcharts, 100_ Clustered Barcharts, Understanding Line Charts, Creating a Report with Multiple Line Charts, Functionalities using Line Charts, Area Charts, Ribbon chart, Waterfall Chart, Funnel Chart, Scatter Charts, Donut - Pie chart, Creating Hierarchy Visuals, Types of Maps in Power BI, Gauge - Card Visuals, Creating a Page Layout, Iterations in Card Visuals, Slicers and Table Metrics, Understanding Conditional Formatting, Conditional Formatting in Table Visuals, Creating Animations in Power BI, Designing Custom Tool Tips for Clients, The Importance to Data Warehousing, The Working of a POS Machine, Understanding Facts _ Dimensions, Understanding Normalization _ De-normalization, Converting a Flat File to a Data Model Scenario, Creating Relationships Between Tables, Cardinality in Power BI, The Need of Date Tables in Power BI, Creating Date Tables using DAX - Part 1, Creating Date Tables using DAX - Part 2, Creating Date Tables using Power Query, Resolving the Many-to-many Cardinality Problem, Difference Between Calculated Column and Measure, Creating Various Measures in Power BI, Underatanding X Functions in Power BI, Calculating Categorical Functions from Tables, The Application of ALL in Measures, Dynamic and Static Ranking in Power BI, Understanding Selectedvalue in Power BI, Time-Intelligence Function in DAX, Cummulative Totals in Power BI, What-if Paramenters, Static Row Level Security, Dynamic Row Level Security, The Power BI Services Account - A Walkthrough, The Advantages of a Services Account, Difference Between a Reports and Dashboards, Data Cleaning, Data Study, Power query Data Transformation, Welcome Page, Sales Overview Page- Important Metrices and Filters, Sales Overview Page with Charts, Profit Analysis, Time Series Analysis, Region wise Analysismp4, Customer Analysis","a comprehensive power bi roadmap: data modeling, dax, visuals (bar, line, area, map, funnel, etc.), date tables and time intelligence, conditional formatting, and building interactive dashboards for business storytelling."
Title not found,Description not found,Course title not found,Lessons not found,descript found lesson found
Title not found,Description not found,Course title not found,Lessons not found,descript found lesson found
Introduction to SQL[Do not Delete],"A practical, beginner-friendly introduction to relational databases and SQL. Covers core SQL syntax, data types, joins, subqueries, aggregate and window functions, and hands-on database operations so learners can write typical queries for reporting and analysis.",Introduction to Databases,"How do Popular Companies Use Data - An Introduction, What is SQL, Databases and Types of Databases, Quiz, The SQL Syntax - Commands in SQL, The Architecture of SQL, Understanding the SQL Server Interface, Datatypes in SQL, Operators in SQL, Creating and Updating Databases, Working with Databases in SQL - Hands-on, Constraints in SQL, Quiz, Set Operations in SQL, SQL Operations on String, Exploring Aggregate Functions in SQL, Window Functions in SQL, Joins in SQL, Merge in SQL, Subqueries in SQL, How to Use Stored Procedures in SQL, Views in SQL, Understanding Common Temporary Tables","a practical, beginner-friendly introduction to relational databases and sql. covers core sql syntax, data types, joins, subqueries, aggregate and window functions, and hands-on database operations so learners can write typical queries for reporting and analysis."
Title not found,Description not found,Course title not found,Lessons not found,descript found lesson found
