Title,Description,Course Title,Lessons
Title not found,Description not found,Course title not found,Lessons not found
Title not found,Description not found,Course title not found,Lessons not found
Title not found,Description not found,Course title not found,Lessons not found
Title not found,Description not found,Course title not found,Lessons not found
Title not found,Description not found,Course title not found,Lessons not found
Title not found,Description not found,Course title not found,Lessons not found
Title not found,Description not found,Course title not found,Lessons not found
Title not found,Description not found,Course title not found,Lessons not found
Title not found,Description not found,Course title not found,Lessons not found
Title not found,Description not found,Course title not found,Lessons not found
Title not found,Description not found,Course title not found,Lessons not found
Title not found,Description not found,Course title not found,Lessons not found
Docker for Absolute Beginners,Description not found,Introduction & Core Concepts,"Getting Started with Docker, Understanding Docker Architecture, Images and Containers Explained, Running Your First Container, Managing Containers: Start, Stop, Remove, Working with Docker Images, Building Custom Images, Writing Your First Dockerfile, Pushing Images to a Registry, Introduction to Docker Compose, Multi-Container Applications, Networking in Docker, Volumes and Data Persistence, Wrap-Up and Next Steps"
Title not found,Description not found,Course title not found,Lessons not found
Title not found,Description not found,Course title not found,Lessons not found
Title not found,Description not found,Course title not found,Lessons not found
Title not found,Description not found,Course title not found,Lessons not found
Title not found,Description not found,Course title not found,Lessons not found
Title not found,Description not found,Course title not found,Lessons not found
Title not found,Description not found,Course title not found,Lessons not found
Title not found,Description not found,Course title not found,Lessons not found
Title not found,Description not found,Course title not found,Lessons not found
Title not found,Description not found,Course title not found,Lessons not found
Title not found,Description not found,Course title not found,Lessons not found
Title not found,Description not found,Course title not found,Lessons not found
Title not found,Description not found,Course title not found,Lessons not found
Title not found,Description not found,Course title not found,Lessons not found
Title not found,Description not found,Course title not found,Lessons not found
The Complete Power BI Blueprint,Description not found,Introduction to Power BI,"Intro to data viz, What is Business Intelligence-, Overview of Data Analysis, What is Power BI, Power Bi Intro Part -2, Power BI Installation Guide - Key Features, Understanding Bar charts - Part 1, Understanding Barcharts - Part 2, Creating a Report with Multiple Bar Charts, Clustered Barcharts, 100_ Clustered Barcharts, Understanding Line Charts, Creating a Report with Multiple Line Charts, Functionalities using Line Charts, Area Charts, Ribbon chart, Waterfall Chart, Funnel Chart, Scatter Charts, Donut - Pie chart, Creating Hierarchy Visuals, Types of Maps in Power BI, Gauge - Card Visuals, Creating a Page Layout, Iterations in Card Visuals, Slicers and Table Metrics, Understanding Conditional Formatting, Conditional Formatting in Table Visuals, Creating Animations in Power BI, Designing Custom Tool Tips for Clients, The Importance to Data Warehousing, The Working of a POS Machine, Understanding Facts _ Dimensions, Understanding Normalization _ De-normalization, Converting a Flat File to a Data Model Scenario, Creating Relationships Between Tables, Cardinality in Power BI, The Need of Date Tables in Power BI, Creating Date Tables using DAX - Part 1, Creating Date Tables using DAX - Part 2, Creating Date Tables using Power Query, Resolving the Many-to-many Cardinality Problem, Difference Between Calculated Column and Measure, Creating Various Measures in Power BI, Underatanding X Functions in Power BI, Calculating Categorical Functions from Tables, The Application of ALL in Measures, Dynamic and Static Ranking in Power BI, Understanding Selectedvalue in Power BI, Time-Intelligence Function in DAX, Cummulative Totals in Power BI, What-if Paramenters, Static Row Level Security, Dynamic Row Level Security, The Power BI Services Account - A Walkthrough, The Advantages of a Services Account, Difference Between a Reports and Dashboards, Data Cleaning, Data Study, Power query Data Transformation, Welcome Page, Sales Overview Page- Important Metrices and Filters, Sales Overview Page with Charts, Profit Analysis, Time Series Analysis, Region wise Analysismp4, Customer Analysis"
Title not found,Description not found,Course title not found,Lessons not found
Title not found,Description not found,Course title not found,Lessons not found
Introduction to SQL[Do not Delete],Description not found,Introduction to Databases,"How do Popular Companies Use Data - An Introduction, What is SQL, Databases and Types of Databases, Quiz, The SQL Syntax - Commands in SQL, The Architecture of SQL, Understanding the SQL Server Interface, Datatypes in SQL, Operators in SQL, Creating and Updating Databases, Working with Databases in SQL - Hands-on, Constraints in SQL, Quiz, Set Operations in SQL, SQL Operations on String, Exploring Aggregate Functions in SQL, Window Functions in SQL, Joins in SQL, Merge in SQL, Subqueries in SQL, How to Use Stored Procedures in SQL, Views in SQL, Understanding Common Temporary Tables"
Title not found,Description not found,Course title not found,Lessons not found
Essentials of Excel,Description not found,Introduction & Basics,"Introduction to Excel, Excel Interface, Cell Referencing, Formula Bar Details, Workbooks and Worksheet, Excel Limitations, Essential Excel Shortcuts, Excel Data Types, Excel Best Practices, Power Query Introduction, Loading Data into Power Query, Transforming Data in Power Query, Understanding the Sample Data Set, Basics of Functions, Charts, Basic Function of Excel part -1, Basic Function of Excel part -2, Min, Max & Count, Look Up function, Add Data from Image, Circle Validation, Advanced Functions, Time related Functions, Macros, Integration of AI on Excel"
Case Study - Data Analysis using SQL,Description not found,An End-to-end Case Study,"Creating and Updating Databases, Working with Databases in SQL - Hands-on, Constraints in SQL, Set Operations in SQL, SQL Operations on String, Exploring Aggregate Functions in SQL, Window Functions in SQL, Joins in SQL, Merge in SQL, Subqueries in SQL, How to Use Stored Procedures in SQL, Views in SQL, Understanding Common Temporary Tables"
Title not found,Description not found,Course title not found,Lessons not found
Title not found,Description not found,Course title not found,Lessons not found
Title not found,Description not found,Course title not found,Lessons not found
DHS 2024 Sessions,Description not found,DHS 2024 Sessions,"Improving Real-World RAG Systems: Key Challenges & Practical  Solutions by Dipanjan Sarkar, Coding a ChatGPT-style Language Model from Scratch in PyTorch by Joshua Starmer, Mastering Multilingual GenAI Open-Weights for Indic Languages by Viraat Aryabumi, Reimagining GenAI: Common Mistakes and Best Practices for Success by Shahebaz Mohammad, Agentic AI The Rise of Autonomous AI Agents & LangGraph by Arun Prakash Asokan, Smart Finance: Utilizing AI Agents for Real-Time Data and  Market Trends by Avinash Pathak, Fine-tuning & Inference of Small Language Models like Gemma by Nikhil Rana and Joinal Ahmed, Navigating LLM Tradeoffs: Techniques for Speed, Cost, Scale & Accuracy by Kartik Nighania, Responsible AI in the era of Generative AI by Bhaskarjit Sarmah, Finding Actor Look-alikes with Multi-modal LLMs by Anand S"
Title not found,Description not found,Course title not found,Lessons not found
Title not found,Description not found,Course title not found,Lessons not found
Title not found,Description not found,Course title not found,Lessons not found
Title not found,Description not found,Course title not found,Lessons not found
Title not found,Description not found,Course title not found,Lessons not found
Title not found,Description not found,Course title not found,Lessons not found
Title not found,Description not found,Course title not found,Lessons not found
Title not found,Description not found,Course title not found,Lessons not found
Title not found,Description not found,Course title not found,Lessons not found
Title not found,Description not found,Course title not found,Lessons not found
Title not found,Description not found,Course title not found,Lessons not found
From Prompt to Product: Vibecoding with Windsurf,Description not found,Course title not found,Lessons not found
Title not found,Description not found,Course title not found,Lessons not found
Title not found,Description not found,Course title not found,Lessons not found
Title not found,Description not found,Course title not found,Lessons not found
Title not found,Description not found,Course title not found,Lessons not found
Title not found,Description not found,Course title not found,Lessons not found
Title not found,Description not found,Course title not found,Lessons not found
Title not found,Description not found,Course title not found,Lessons not found
Title not found,Description not found,Course title not found,Lessons not found
Title not found,Description not found,Course title not found,Lessons not found
Title not found,Description not found,Course title not found,Lessons not found
Title not found,Description not found,Course title not found,Lessons not found
Title not found,Description not found,Course title not found,Lessons not found
Title not found,Description not found,Course title not found,Lessons not found
Title not found,Description not found,Course title not found,Lessons not found
Title not found,Description not found,Course title not found,Lessons not found
Title not found,Description not found,Course title not found,Lessons not found
Title not found,Description not found,Course title not found,Lessons not found
Title not found,Description not found,Course title not found,Lessons not found
Title not found,Description not found,Course title not found,Lessons not found
Title not found,Description not found,Course title not found,Lessons not found
Title not found,Description not found,Course title not found,Lessons not found
